,id,movie,year,rating,genre,runtime,imdb,metascore,votes,review_quality
200,200,Batman & Robin,1997,PG-13,"['Action', ' Sci-Fi']",125,37,28,258521,0
201,201,Armageddon,1998,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,67,42,434448,0
202,202,Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",118,76,80,306798,2
203,203,10 Cloverfield Lane,2016,PG-13,"['Drama', ' Horror', ' Mystery']",103,72,76,337741,2
204,204,Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",118,70,70,420149,2
205,205,X-Men: The Last Stand,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,66,58,524961,2
206,206,28 Days Later,2002,R,"['Drama', ' Horror', ' Sci-Fi']",113,75,73,423173,2
207,207,RoboCop,1987,R,"['Action', ' Crime', ' Sci-Fi']",102,76,70,266015,2
208,208,Iron Man 3,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,71,62,864956,1
209,209,Venom: Let There Be Carnage,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",97,59,49,234396,0
210,210,X-Men Origins: Wolverine,2009,PG-13,"['Action', ' Sci-Fi']",107,65,40,513608,0
211,211,12 Monkeys,1995,R,"['Mystery', ' Sci-Fi', ' Thriller']",129,80,74,627248,1
212,212,Spiderhead,2022,R,"['Action', ' Crime', ' Drama']",106,54,54,60849,0
213,213,Transformers: The Last Knight,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,52,27,156796,0
214,214,Elysium,2013,R,"['Action', ' Drama', ' Sci-Fi']",109,66,61,455649,2
215,215,The Faculty,1998,R,"['Horror', ' Mystery', ' Sci-Fi']",104,66,61,127852,2
216,216,Lilo & Stitch,2002,PG,"['Animation', ' Adventure', ' Comedy']",85,73,73,197791,2
217,217,Gravity,2013,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",91,77,96,838012,1
218,218,Minority Report,2002,PG-13,"['Action', ' Crime', ' Mystery']",145,76,80,562974,1
219,219,Smoking Causes Coughing,2022,Not Rated,"['Comedy', ' Horror', ' Sci-Fi']",77,66,74,1656,2
220,220,Spaceballs,1987,PG,"['Adventure', ' Comedy', ' Sci-Fi']",96,71,46,196367,2
221,221,The Purge,2013,R,"['Horror', ' Sci-Fi', ' Thriller']",85,57,41,229499,0
222,222,Ad Astra,2019,PG-13,"['Adventure', ' Drama', ' Mystery']",123,65,80,244431,2
223,223,War of the Worlds,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,65,73,457880,2
224,224,Justice League,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",120,61,45,461025,0
225,225,Finch,2021,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",115,69,57,87552,2
226,226,Kong: Skull Island,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",118,66,62,327824,2
227,227,Godzilla: King of the Monsters,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",132,60,48,188932,0
228,228,Moonraker,1979,PG,"['Action', ' Adventure', ' Sci-Fi']",126,62,66,104161,2
229,229,Lightyear,2022,PG,"['Animation', ' Action', ' Adventure']",105,61,60,112108,2
230,230,Teenage Mutant Ninja Turtles,1990,PG,"['Action', ' Adventure', ' Comedy']",93,67,51,97079,2
231,231,Godzilla,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,64,62,421155,2
232,232,Okja,2017,TV-MA,"['Action', ' Adventure', ' Drama']",120,73,75,125683,2
233,233,Prospect,2018,R,"['Adventure', ' Drama', ' Sci-Fi']",100,63,68,30427,2
234,234,The Matrix Reloaded,2003,R,"['Action', ' Sci-Fi']",138,72,62,605817,1
235,235,The Lost World: Jurassic Park,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,65,59,426871,2
236,236,District 9,2009,R,"['Action', ' Sci-Fi', ' Thriller']",112,79,81,692207,1
237,237,Doctor Strange,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",115,75,72,760206,1
238,238,The Devil Conspiracy,2022,R,"['Horror', ' Sci-Fi', ' Thriller']",111,44,37,1424,0
239,239,X2: X-Men United,2003,PG-13,"['Action', ' Sci-Fi', ' Thriller']",134,74,68,558842,1
240,240,Wreck-It Ralph,2012,PG,"['Animation', ' Adventure', ' Comedy']",101,77,72,433718,2
241,241,Akira,1988,R,"['Animation', ' Action', ' Drama']",124,80,67,192286,2
242,242,Pacific Rim,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,69,65,510986,2
243,243,Bumblebee,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,67,66,172036,2
244,244,Cloverfield,2008,PG-13,"['Action', ' Adventure', ' Horror']",85,70,64,407001,2
245,245,The Fly,1986,R,"['Drama', ' Horror', ' Sci-Fi']",96,76,79,189567,2
246,246,Spider-Man 3,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",139,63,59,603999,2
247,247,Star Trek Beyond,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,70,68,250817,2
248,248,Mad Max,1979,R,"['Action', ' Adventure', ' Sci-Fi']",88,68,73,212329,2
249,249,Upgrade,2018,R,"['Action', ' Sci-Fi', ' Thriller']",100,75,67,191670,2
250,250,Captain America: The Winter Soldier,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,78,70,861455,1
251,251,Transformers: Age of Extinction,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",165,56,32,319534,0
252,252,Limitless,2011,PG-13,"['Sci-Fi', ' Thriller']",105,74,59,586106,1
253,253,The Wolverine,2013,PG-13,"['Action', ' Sci-Fi']",126,67,61,475632,2
254,254,Weird Science,1985,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",94,66,46,92391,0
255,255,Independence Day: Resurgence,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,52,32,183029,0
256,256,The Amazing Spider-Man,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,69,66,668651,1
257,257,Sunshine,2007,R,"['Sci-Fi', ' Thriller']",107,72,64,255863,2
258,258,Mr. Nobody,2009,R,"['Drama', ' Fantasy', ' Romance']",141,78,63,238076,2
259,259,The Giver,2014,PG-13,"['Drama', ' Romance', ' Sci-Fi']",97,64,47,121697,0
260,260,Deep Impact,1998,PG-13,"['Action', ' Drama', ' Sci-Fi']",120,62,40,182529,0
261,261,Infinite,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,54,28,54664,0
262,262,Fantastic Four,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,43,27,170722,0
263,263,Oblivion,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,70,54,535714,2
264,264,X-Men: Dark Phoenix,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,57,43,193101,0
265,265,Glass,2019,PG-13,"['Drama', ' Horror', ' Sci-Fi']",129,66,43,251688,0
266,266,Men in Black 3,2012,PG-13,"['Action', ' Adventure', ' Comedy']",106,68,58,371199,2
267,267,The Butterfly Effect,2004,R,"['Drama', ' Sci-Fi', ' Thriller']",113,76,30,499302,0
268,268,Looper,2012,R,"['Action', ' Drama', ' Sci-Fi']",119,74,84,585124,1
269,269,WarGames,1983,PG,"['Action', ' Drama', ' Sci-Fi']",114,71,77,103705,2
270,270,John Carter,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,66,51,277879,2
271,271,Stargate,1994,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,70,42,196083,0
272,272,Hellboy,2019,R,"['Action', ' Adventure', ' Fantasy']",120,52,31,93359,0
273,273,Total Recall,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,62,43,258975,0
274,274,The Forgotten,2004,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",91,58,43,67155,0
275,275,Big Hero 6,2014,PG,"['Animation', ' Action', ' Adventure']",102,78,74,473277,1
276,276,Atlantis: The Lost Empire,2001,PG,"['Animation', ' Action', ' Adventure']",95,69,52,125183,2
277,277,Spider-Man 2,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,74,83,668016,1
278,278,Samaritan,2022,PG-13,"['Action', ' Drama', ' Fantasy']",102,57,45,49368,0
